@@@E X T R A C T@@@
Latitude,Longitude,Road Surface
39.92807,-82.995687,Asphalt
39.928243,-82.995697,Asphalt
39.928418,-82.995708,Asphalt
39.92859,-82.995718,Asphalt
39.928758,-82.995732,Asphalt
39.928928,-82.995745,Asphalt
39.929097,-82.995757,Asphalt
39.929267,-82.995767,Asphalt
39.929433,-82.995775,Asphalt
39.9296,-82.99578,Asphalt
39.929768,-82.995787,Asphalt
39.92994,-82.995795,Asphalt
39.930113,-82.995805,Asphalt
39.930287,-82.995815,Asphalt
39.93046,-82.995825,Asphalt
39.930632,-82.995833,Asphalt
39.9308,-82.995842,Asphalt
39.930965,-82.995847,Asphalt
39.93113,-82.995853,Asphalt
39.931293,-82.995857,Asphalt
39.931458,-82.995862,Asphalt
39.931625,-82.995867,Asphalt
39.931793,-82.995873,Asphalt
39.931962,-82.99588,Asphalt
39.932127,-82.995885,Asphalt
39.93229,-82.995892,Asphalt
39.93245,-82.995898,Asphalt
39.932608,-82.995905,Asphalt
39.932765,-82.995912,Asphalt
39.932922,-82.995918,Asphalt
39.933075,-82.99592,Asphalt
39.933227,-82.995925,Asphalt
39.93338,-82.995932,Asphalt
39.933533,-82.995938,Asphalt
39.933688,-82.995945,Asphalt
39.933843,-82.995952,Asphalt
39.933998,-82.99596,Asphalt
39.934155,-82.995967,Asphalt
39.934312,-82.995975,Asphalt
39.93447,-82.995983,Asphalt
39.934628,-82.99599,Asphalt
39.934785,-82.995998,Asphalt
39.934943,-82.996007,Asphalt
39.935098,-82.996013,Asphalt
39.935253,-82.99602,Asphalt
39.935405,-82.996025,Asphalt
39.935557,-82.996035,Asphalt
39.935705,-82.996042,Asphalt
39.935855,-82.996048,Asphalt
39.936005,-82.996055,Asphalt
39.936155,-82.996062,Asphalt
39.936305,-82.996065,Asphalt
39.936453,-82.996067,Asphalt
39.936602,-82.996068,Asphalt
39.936752,-82.996068,Asphalt
39.936897,-82.996068,Asphalt
39.937045,-82.996067,Asphalt
39.937193,-82.996068,Asphalt
39.937342,-82.99607,Asphalt
39.937492,-82.996075,Asphalt
39.937643,-82.996078,Asphalt
39.937793,-82.996083,Asphalt
39.937943,-82.996085,Asphalt
39.938095,-82.996087,Asphalt
39.938243,-82.996088,Asphalt
39.938393,-82.996093,Asphalt
39.938543,-82.996103,Asphalt
39.938693,-82.99611,Asphalt
39.938845,-82.996118,Asphalt
39.938993,-82.996128,Asphalt
39.939142,-82.996137,Asphalt
39.939285,-82.99615,Asphalt
39.93943,-82.996168,Asphalt
39.939573,-82.996195,Asphalt
39.939718,-82.996223,Asphalt
39.939865,-82.996252,Asphalt
39.940012,-82.996283,Asphalt
39.940158,-82.996312,Asphalt
39.940307,-82.996342,Asphalt
39.940457,-82.996377,Asphalt
39.940608,-82.996407,Asphalt
39.940762,-82.996437,Asphalt
39.94091,-82.99647,Asphalt
39.94106,-82.996507,Asphalt
39.94121,-82.99654,Asphalt
39.94136,-82.996575,Asphalt
39.941518,-82.996608,Asphalt
39.941678,-82.99664,Asphalt
39.941837,-82.99667,Asphalt
39.941995,-82.996698,Asphalt
39.942153,-82.996727,Asphalt
39.94231,-82.996757,Asphalt
39.942467,-82.996788,Asphalt
39.942618,-82.996818,Asphalt
39.942768,-82.996848,Asphalt
39.942913,-82.996877,Asphalt
39.943055,-82.996908,Asphalt
39.943183,-82.996935,Asphalt
39.943302,-82.996943,Asphalt
39.943412,-82.996962,Asphalt
39.943502,-82.996983,Asphalt
39.943575,-82.996995,Asphalt
39.94363,-82.99701,Asphalt
39.943667,-82.997022,Asphalt
39.94367,-82.997047,Asphalt
39.943672,-82.997047,Asphalt
39.943675,-82.997047,Asphalt
39.943675,-82.997043,Asphalt
39.943677,-82.99704,Asphalt
39.943682,-82.997038,Asphalt
39.943687,-82.997035,Asphalt
39.94369,-82.997028,Asphalt
39.943692,-82.997033,Asphalt
39.943697,-82.997032,Asphalt
39.943697,-82.997028,Asphalt
39.943698,-82.997053,Asphalt
39.943735,-82.997048,Asphalt
39.943788,-82.997052,Asphalt
39.943855,-82.997065,Asphalt
39.943933,-82.997082,Asphalt
39.944025,-82.997105,Asphalt
39.944127,-82.997117,Asphalt
39.944238,-82.997133,Asphalt
39.944357,-82.997153,Asphalt
39.94448,-82.997175,Asphalt
39.944608,-82.997195,Asphalt
39.94474,-82.997218,Asphalt
39.944873,-82.997245,Asphalt
39.945008,-82.997273,Asphalt
39.945147,-82.997302,Asphalt
39.945288,-82.997335,Asphalt
39.945435,-82.997363,Asphalt
39.945583,-82.997393,Asphalt
39.945732,-82.997425,Asphalt
39.94588,-82.997453,Asphalt
39.94603,-82.997482,Asphalt
39.94618,-82.997508,Asphalt
39.946333,-82.997538,Asphalt
39.946488,-82.997572,Asphalt
39.94664,-82.997605,Asphalt
39.94679,-82.99764,Asphalt
39.946937,-82.997677,Asphalt
39.947082,-82.99771,Asphalt
39.947225,-82.997738,Asphalt
39.947373,-82.997772,Asphalt
39.94752,-82.9978,Asphalt
39.947665,-82.997828,Asphalt
39.94781,-82.99786,Asphalt
39.947953,-82.997888,Asphalt
39.948088,-82.997907,Asphalt
39.94822,-82.997927,Asphalt
39.948347,-82.997943,Asphalt
39.948468,-82.997965,Asphalt
39.948582,-82.99799,Asphalt
39.94868,-82.998008,Asphalt
39.948768,-82.998023,Asphalt
39.948857,-82.998028,Asphalt
39.948948,-82.998037,Asphalt
39.94905,-82.998045,Asphalt
39.949163,-82.998063,Asphalt
39.949285,-82.998092,Asphalt
39.949418,-82.998123,Asphalt
39.949555,-82.998153,Asphalt
39.949697,-82.998182,Asphalt
39.949838,-82.998208,Asphalt
39.949978,-82.998237,Asphalt
39.950113,-82.998263,Asphalt
39.950243,-82.99829,Asphalt
39.95037,-82.998318,Asphalt
39.950498,-82.998343,Asphalt
39.950622,-82.998378,Asphalt
39.950747,-82.998405,Asphalt
39.950875,-82.998427,Asphalt
39.950998,-82.99845,Asphalt
39.95112,-82.998472,Asphalt
39.95124,-82.998492,Asphalt
39.951365,-82.998512,Asphalt
39.951488,-82.998533,Asphalt
39.951612,-82.99856,Asphalt
39.951732,-82.998582,Asphalt
39.951847,-82.998607,Asphalt
39.951957,-82.99863,Asphalt
39.95206,-82.998652,Asphalt
39.952153,-82.998665,Asphalt
39.952232,-82.998683,Asphalt
39.952288,-82.998692,Asphalt
39.95233,-82.998697,Asphalt
39.95236,-82.998698,Asphalt
39.952375,-82.998663,Asphalt
39.952377,-82.998697,Asphalt
39.952377,-82.998667,Asphalt
39.952377,-82.998665,Asphalt
39.952378,-82.998672,Asphalt
39.952378,-82.99867,Asphalt
39.952383,-82.998678,Asphalt
39.952387,-82.998698,Asphalt
39.952387,-82.998682,Asphalt
39.952387,-82.99867,Asphalt
39.95239,-82.998688,Asphalt
39.952393,-82.998698,Asphalt
39.952393,-82.998692,Asphalt
39.952395,-82.998695,Asphalt
39.952418,-82.99867,Asphalt
39.952465,-82.998663,Asphalt
39.952525,-82.99867,Asphalt
39.952598,-82.998683,Asphalt
39.95268,-82.998702,Asphalt
39.952765,-82.99872,Asphalt
39.952857,-82.998738,Asphalt
39.95295,-82.998758,Asphalt
39.953047,-82.99878,Asphalt
39.953145,-82.998803,Asphalt
39.953243,-82.998828,Asphalt
39.95334,-82.998853,Asphalt
39.953435,-82.998877,Asphalt
39.95353,-82.998903,Asphalt
39.953627,-82.998927,Asphalt
39.953723,-82.998957,Asphalt
39.953825,-82.998998,Asphalt
39.953925,-82.999042,Asphalt
39.954028,-82.999095,Asphalt
39.954123,-82.999137,Asphalt
39.95421,-82.999182,Asphalt
39.954277,-82.999195,Asphalt
39.954335,-82.999202,Asphalt
39.954385,-82.999203,Asphalt
39.95444,-82.999212,Asphalt
39.954507,-82.999227,Asphalt
39.95458,-82.99923,Asphalt
39.954667,-82.999255,Asphalt
39.954757,-82.999287,Asphalt
39.954853,-82.999317,Asphalt
39.954953,-82.999348,Asphalt
39.955058,-82.999378,Asphalt
39.955165,-82.999408,Asphalt
39.95527,-82.999437,Asphalt
39.955365,-82.999453,Asphalt
39.955447,-82.99947,Asphalt
39.9555,-82.999505,Asphalt
39.955555,-82.999548,Asphalt
39.955588,-83.118607,Asphalt
39.955603,-82.999553,Asphalt
39.955647,-82.999563,Asphalt
39.95568,-82.999548,Asphalt
39.955703,-82.999532,Asphalt
39.95571,-82.999402,Asphalt
39.95571,-82.999385,Asphalt
39.95571,-82.999372,Asphalt
39.95571,-82.99931,Asphalt
39.955712,-82.999415,Asphalt
39.955712,-82.999362,Asphalt
39.955713,-82.999352,Asphalt
39.955713,-82.99932,Asphalt
39.955713,-82.999308,Asphalt
39.955715,-82.999343,Asphalt
39.955715,-82.99933,Asphalt
39.955717,-82.999497,Asphalt
39.955717,-82.999435,Asphalt
39.955718,-82.999338,Asphalt
39.95572,-82.999462,Asphalt
39.955725,-82.999295,Asphalt
39.955762,-82.999282,Asphalt
39.955788,-83.11861,Asphalt
39.955828,-82.999295,Asphalt
39.95589,-82.999263,Asphalt
39.955952,-82.99922,Asphalt
39.955985,-83.118617,Asphalt
39.956007,-82.999182,Asphalt
39.956068,-82.999157,Asphalt
39.956148,-82.999162,Asphalt
39.956183,-83.118623,Asphalt
39.95624,-82.999165,Asphalt
39.956337,-82.999177,Asphalt
39.956387,-83.118638,Asphalt
39.956445,-82.999197,Asphalt
39.956553,-82.99923,Asphalt
39.956593,-83.118655,Asphalt
39.956653,-82.999258,Asphalt
39.956752,-82.99929,Asphalt
39.9568,-83.11867,Asphalt
39.956848,-82.999325,Asphalt
39.956943,-82.999363,Asphalt
39.957007,-83.118687,Asphalt
39.957038,-82.9994,Asphalt
39.957128,-82.999428,Asphalt
39.957208,-82.999463,Asphalt
39.957212,-83.118702,Asphalt
39.957287,-82.99953,Asphalt
39.957345,-82.999622,Asphalt
39.957365,-82.999698,Asphalt
39.957377,-83.001132,Asphalt
39.957378,-83.001233,Asphalt
39.957378,-83.001018,Asphalt
39.95738,-83.00132,Asphalt
39.95738,-82.999802,Asphalt
39.957382,-83.000897,Asphalt
39.957385,-83.001387,Asphalt
39.957388,-83.000773,Asphalt
39.957388,-82.999912,Asphalt
39.95739,-83.000148,Asphalt
39.957393,-83.00003,Asphalt
39.957395,-83.001438,Asphalt
39.957395,-83.000652,Asphalt
39.9574,-83.0004,Asphalt
39.9574,-83.000272,Asphalt
39.957402,-83.00053,Asphalt
39.957415,-83.00147,Asphalt
39.957423,-83.118722,Asphalt
39.95745,-83.001485,Asphalt
39.957488,-83.001493,Asphalt
39.957527,-83.001507,Asphalt
39.957573,-83.00152,Asphalt
39.957625,-83.001533,Asphalt
39.95764,-83.118738,Asphalt
39.957672,-83.001545,Asphalt
39.957712,-83.001555,Asphalt
39.957737,-83.00156,Asphalt
39.95774,-83.001595,Asphalt
39.957742,-83.001598,Asphalt
39.957743,-83.001602,Asphalt
39.957743,-83.001595,Asphalt
39.957745,-83.001603,Asphalt
39.957745,-83.001602,Asphalt
39.957745,-83.0016,Asphalt
39.957745,-83.001598,Asphalt
39.957747,-83.001598,Asphalt
39.957747,-83.001562,Asphalt
39.957748,-83.00159,Asphalt
39.957748,-83.001577,Asphalt
39.957748,-83.001567,Asphalt
39.957748,-83.001565,Asphalt
39.957748,-83.001563,Asphalt
39.957748,-83.001562,Asphalt
39.95775,-83.001562,Asphalt
39.957753,-83.001595,Asphalt
39.957753,-83.001562,Asphalt
39.957758,-83.001563,Asphalt
39.95776,-83.00157,Asphalt
39.957763,-83.001565,Asphalt
39.957765,-83.00157,Asphalt
39.957767,-83.001568,Asphalt
39.95778,-83.001607,Asphalt
39.957825,-83.001625,Asphalt
39.957858,-83.118753,Asphalt
39.957882,-83.001655,Asphalt
39.957952,-83.001695,Asphalt
39.958025,-83.00173,Asphalt
39.958082,-83.118773,Asphalt
39.958107,-83.001757,Asphalt
39.9582,-83.001775,Asphalt
39.958298,-83.001788,Asphalt
39.958312,-83.118797,Asphalt
39.958405,-83.001797,Asphalt
39.958512,-83.001815,Asphalt
39.958542,-83.118817,Asphalt
39.958618,-83.00185,Asphalt
39.958732,-83.001875,Asphalt
39.958788,-83.118845,Asphalt
39.958852,-83.001878,Asphalt
39.95897,-83.001877,Asphalt
39.959032,-83.118875,Asphalt
39.959087,-83.001885,Asphalt
39.959205,-83.00189,Asphalt
39.959278,-83.118905,Asphalt
39.959325,-83.001902,Asphalt
39.959443,-83.001908,Asphalt
39.959525,-83.118933,Asphalt
39.959555,-83.00191,Asphalt
39.959665,-83.001915,Asphalt
39.959775,-83.11896,Asphalt
39.959775,-83.001922,Asphalt
39.959887,-83.001935,Asphalt
39.959997,-83.001947,Asphalt
39.960028,-83.11899,Asphalt
39.960105,-83.00195,Asphalt
39.960217,-83.001967,Asphalt
39.960283,-83.119017,Asphalt
39.960323,-83.001982,Asphalt
39.960428,-83.001997,Asphalt
39.960527,-83.00202,Asphalt
39.960538,-83.119035,Asphalt
39.96062,-83.00206,Asphalt
39.960712,-83.002117,Asphalt
39.96079,-83.119045,Asphalt
39.9608,-83.002182,Asphalt
39.960903,-83.002207,Asphalt
39.961008,-83.002242,Asphalt
39.961047,-83.119053,Asphalt
39.961127,-83.002243,Asphalt
39.961238,-83.002242,Asphalt
39.961295,-83.11906,Asphalt
39.961333,-83.002267,Asphalt
39.961427,-83.002278,Asphalt
39.961513,-83.002322,Asphalt
39.961543,-83.119063,Asphalt
39.961612,-83.002365,Asphalt
39.961718,-83.002402,Asphalt
39.961798,-83.119053,Asphalt
39.961823,-83.00245,Asphalt
39.961927,-83.00251,Asphalt
39.962038,-83.002535,Asphalt
39.962053,-83.119055,Asphalt
39.962145,-83.002555,Asphalt
39.962255,-83.002577,Asphalt
39.962302,-83.119055,Asphalt
39.962365,-83.002608,Asphalt
39.962475,-83.002642,Asphalt
39.96255,-83.119062,Asphalt
39.962585,-83.002672,Asphalt
39.962702,-83.0027,Asphalt
39.962802,-83.119068,Asphalt
39.962828,-83.002707,Asphalt
39.962948,-83.00272,Asphalt
39.963048,-83.11907,Asphalt
39.963072,-83.002727,Asphalt
39.963195,-83.00274,Asphalt
39.963298,-83.119073,Asphalt
39.963338,-83.002697,Asphalt
39.963458,-83.002723,Asphalt
39.963545,-83.119075,Asphalt
39.963572,-83.002747,Asphalt
39.963683,-83.002767,Asphalt
39.963787,-83.119075,Asphalt
39.963795,-83.002785,Asphalt
